date,portfolio_value,cash,positions_value,total_invested,total_return,total_return_pct,positions_count,MDY_price,SPY_price,IWM_price,QQQ_price,CRNX_price,CRNX_pnl,CRNX_pnl_pct,STRL_price,STRL_pnl,STRL_pnl_pct,OTEX_price,OTEX_pnl,OTEX_pnl_pct,ZION_price,ZION_pnl,ZION_pnl_pct
2025-09-09,1068.44706,24.52,1043.92706,999.964,68.44705999999996,0.0684470599999999,4,597.5399780273438,650.3300170898438,236.8500061035156,580.510009765625,,,,,,,,,,,,
2025-09-10,1080.50762,24.52,1055.98762,999.964,80.50761999999986,0.0805076199999998,4,597.2899780273438,652.2100219726562,236.42999267578125,580.7000122070312,,,,,,,,,,,,
2025-09-11,1085.72384,24.52,1061.20384,999.964,85.72383999999988,0.0857238399999998,4,607.3699951171875,657.6300048828125,240.8000030517578,584.0800170898438,,,,,,,,,,,,
2025-09-12,1089.6870700000002,24.52,1065.1670700000002,999.964,89.68707000000018,0.0896870700000001,4,600.6199951171875,657.4099731445312,238.33999633789065,586.6599731445312,,,,,,,,,,,,
2025-09-13,1089.6870700000002,24.52,1065.1670700000002,999.964,89.68707000000018,0.0896870700000001,4,600.6199951171875,657.4099731445312,238.33999633789065,586.6599731445312,,,,,,,,,,,,
2025-09-15,1107.60608,24.52,1083.08608,,107.60608000000002,0.10760608,4,,,,,33.78,10.240000000000007,0.0393846153846154,323.92,33.142080000000014,0.1325874125874126,37.675,57.47999999999999,0.2356510331256149,57.085,6.780000000000001,0.0306011915508214
2025-09-16,1094.87088,24.52,1070.35088,,94.87087999999994,0.0948708799999999,4,,,,,34.09,12.720000000000027,0.048923076923077,319.12,28.946880000000004,0.1158041958041958,36.59,48.80000000000004,0.2000655952771402,56.5,4.439999999999998,0.0200397183607149
2025-09-17,1101.58054,24.52,1077.06054,,101.58053999999991,0.1015805399999999,4,,,,,34.135,13.079999999999984,0.0503076923076922,320.71,30.33653999999998,0.1213636363636363,36.7,49.68000000000004,0.2036733355198427,57.52,8.52000000000001,0.0384545946921827
2025-09-18,1148.95809,24.52,1124.43809,,148.95809000000008,0.14895809,4,,,,,35.47,23.75999999999999,0.0913846153846153,348.785,54.87409000000002,0.2195279720279721,37.4,55.28,0.2266316825188586,59.16,15.079999999999984,0.0680628272251308
2025-09-19,1141.20842,24.52,1116.68842,,141.20841999999993,0.1412084199999999,4,,,,,33.905,11.240000000000007,0.0432307692307692,360.33,64.96441999999999,0.2598951048951048,36.98,51.91999999999999,0.2128566743194489,58.67,13.120000000000005,0.0592164650658963
2025-09-20,1141.2185,24.52,1116.6985,,141.21849999999995,0.14121849999999994,4,,,,,33.91,11.279999999999973,0.04338461538461528,360.25,64.8945,0.25961538461538464,36.97,51.84,0.2125286979337488,58.7,13.240000000000009,0.05975807907564546
